id,state,name,address_line1,address_line2,city,district,pin_code
50454,Madhya Pradesh,"GOVERNMENT COLLEGE, JAITAHARI",Near of Tahseel office Jaithari,Near of Tahseel office Jaithari,Jaithari (Anuppur)484330,Shahdol,484330
48341,Madhya Pradesh,INDIAN INSTITUTE OF NURSING SCIENCE AND RESEARCH,S-2 KACHNAR CITY,VIJAY NAGAR,JABALPUR,Jabalpur,482002
29679,Madhya Pradesh,"Govt. Arts & Commerce College, Nevali","Palsood Road ,Niwali",Distt. Barwani,Niwali,Barwani,451770
31892,Madhya Pradesh,PANTIUM POINT TACHQUNICAL COLLEG REWA,"BESIDES SHRAK IN RESTAURANT, SEMARIYA ROAD, KARAHIYA REWA","IN FRONT OF RADIO COLONY, HEDGEWAR NAGAR, REWA",REWA,Rewa,486001
33338,Madhya Pradesh,"N.E.S. Education College, Jabalpur",HATHITAL ROAD,GORAKHPUR,JABALPUR,Jabalpur,482002
29695,Madhya Pradesh,"Saifee Golden Jubilee Quaderia College, Burhanpur","Quila Road , Burhanpur",NA,Burhanpur,Burhanpur,450331
29759,Madhya Pradesh,"Vivekanand College, Burhanpur",KALUSHAH BABA KI DARGAH KE PASS INDORE ICHCHHAPUR ROAD,SHAHPUR,BURHANPUR,Burhanpur,450445
31708,Madhya Pradesh,"Govt. R.V.College, Manasa",Manasa-Neemuch road,0,Manasa,Neemuch,458110
31629,Madhya Pradesh,"Balkavi Bairagee Education College, Neemuch","NH-79, Mhow-Nasirabad Road","Gram Kanawati, Teh. & Distt. Neemuch (MP)",Neemuch,Neemuch,458441
31743,Madhya Pradesh,"Om Shanti Vigyan College, Bagli",Om Shanti College,Bagli,Bagli,Dewas,455227
31673,Madhya Pradesh,"Jain College of Education, Mandsaur","RAJENDRA VIHAR, MHOW NEEMUCH ROAD",MANDSAUR (M.P.),MANDSAUR,Mandsaur,458001
36038,Madhya Pradesh,"Srajan Institute of Technology Management & Science, Jaora Road, Ratlam",R.T.O OFFICE RATLAM,R.T.O OFFICE RATLAM,RATLAM,Ratlam,457001
31736,Madhya Pradesh,"Balkavi Bairagee College, Kanawati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh & Distt. Neemuch (MP)",Neemuch,Neemuch,458441
31749,Madhya Pradesh,"Gyanoday Institute of Mangt & Technology, Kanawati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh- & Distt. Neemuch (MP)",Neemuch,Neemuch,458441
35997,Madhya Pradesh,"Gyanodyaya Institute of Professional Studies, Gram Kanwati Tehsil-District Neemuch (M.P.)",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh. & Distt. Neemuch (MP)",Neemuch,Neemuch,458441
31692,Madhya Pradesh,"Gyanoday Institute of Nursing Kanavati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh.- Neemuch",Neemuch,Neemuch,458441
35378,Madhya Pradesh,"Govt. College, Pachore, Rajgarh",Padampura Road Pachore,NA,Pachore,Rajgarh,465683
35295,Madhya Pradesh,"Govt. College BHEL, Bhopal",GOVT COLLEGE BHEL BHOPAL,NEAR MAHATMA GANDHI CHOURAHA Bhopal,BHOPAL,Bhopal,462041
33335,Madhya Pradesh,"Smt. Kamlabai Tripathi College, Bargi Nagar, Jabalpur",NEAR NAND KESHWAR MANDIR,GRAM HARDULI BARGI NAGAR,JABALPUR,Jabalpur,482056
29688,Madhya Pradesh,"Radiant Institute. of Management, Bakhtawar Ram Nagar, Indore",Sector-A,Bakhtawarram nagar,Indore,Indore,452001
36339,Madhya Pradesh,GANDHI VOCATIONAL COLLEGE,kusmoda,NA,guna,Gwalior,473001
47280,Madhya Pradesh,"Vidyodaya College, Manawar",Gopalpura road opposite telephone exchange manawar,Gopalpura road opposite telephone exchange manawar,manawar,Dhar,454446
36281,Madhya Pradesh,"Shri Krishna Institute of Technology and Management,Bhat Kheri Jhansi road, Gwalior",Kote Ki Saray,Jhansi Road,Gwalior,Gwalior,474001
29891,Madhya Pradesh,Prof Brijmohan Mishra Institute of Medical & Technical Sciences,"""BIMTS Parisar"",","Khandwa Road, Jhiri",Burhanpur,Burhanpur,450331
35104,Madhya Pradesh,"Swami Vivekanand College of Prof. Studies, H.N.15, Near Bhopal Naka, Sehore",Awadh puri Colony bhopal naka sehore 466001,NA,sehore,Sehore,466001
35984,Madhya Pradesh,"Shree Sai Institute of Technology, Jaora Road, Ratlam 45700",Near RTO office Jaora Road Ratlam,NA,Ratlam,Ratlam,457001
32605,Madhya Pradesh,"Shri Saai Institute of Tech.New R.T.O.Office, Jaora Road, Ratlam","Jaora Road,","Near RTO Office,",Ratlam,Ratlam,457001
47351,Madhya Pradesh,SATPUDA COLLEGE,"At Post - Manjhapur (Garra), Dist- Balaghat","At post - Manjhapur (Garra), Dist- Balaghat",Balaghat,Balaghat,481001
48210,Madhya Pradesh,KAILASH NARAYAN PATEL COLLEGE OF SCIENCE,"NH-12, HOSHANGABAD ROAD",MISROD,BHOPAL,Bhopal,462046
36191,Madhya Pradesh,"Kailash Narayan Patidar College of Science & Technology, Misrod, Bhopal","NH-12, HOSHANGABAD ROAD",MISROD,BHOPAL,Bhopal,462046
32608,Madhya Pradesh,"Shaheed Narandra Singh College, Jaora","Banna kheda road,jaora","dist-Ratlam,M.P.",JAORA,Ratlam,457226
35218,Madhya Pradesh,"Govt. Swami Vivekanand College, Bairasia, Bhopal","Govt swami Vivekanand Degree College Berasia, Bhopal","Berasia (Bhopal), Samsabad Road","Berasia ,Bhopal MP",Bhopal,463106
36278,Madhya Pradesh,"Thakur Shivkumar Singh Memorial Engineering College, Navall Nagar (Ziri), Tehsil & District Burhanpur-450223","Navalnaga, Ziri","Navalnaga, Ziri",Burhanpur,Burhanpur,450331
48787,Madhya Pradesh,"THAKUR SHIVKUMARSINGH MEMORIAL MANAGEMENT COLLEGE, NAVALNAGAR, ZIRI",NAVALNAGAR,ZIRI,BURHANPUR,Burhanpur,450331
